証券コード,企業名
1938,日本リーテック株式会社
1939,株式会社四電工
1941,株式会社中電工
1942,株式会社関電工
1944,株式会社きんでん
1945,株式会社東京エネシス
1946,株式会社トーエネック
1948,株式会社弘電社
194A,株式会社ＷＯＬＶＥＳ　ＨＡＮＤ
1950,日本電設工業株式会社
1951,エクシオグループ株式会社
1952,新日本空調株式会社
1959,株式会社クラフティア
195A,株式会社ＭＵＳＣＡＴ　ＧＲＯＵＰ
1960,株式会社サンテック
1961,三機工業株式会社
1963,日揮ホールディングス株式会社
1964,中外炉工業株式会社
1965,株式会社テクノ菱和
1966,株式会社　高田工業所
1967,株式会社ヤマト
1968,太平電業株式会社
1969,高砂熱学工業株式会社
196A,株式会社ＭＦＳ
1972,三晃金属工業株式会社
1975,株式会社朝日工業社
1976,明星工業株式会社
1979,株式会社大気社
197A,株式会社タウンズ
1980,ダイダン株式会社
1981,株式会社協和日成
1982,日比谷総合設備株式会社
198A,ＰｏｓｔＰｒｉｍｅ株式会社
1992,神田通信機株式会社
1994,高橋カーテンウォール工業株式会社
1997,暁飯島工業株式会社
1999,サイタホールディングス株式会社
2001,株式会社ニップン
2002,株式会社日清製粉グループ本社
2003,日東富士製粉株式会社
2004,昭和産業株式会社
2009,鳥越製粉株式会社
2053,中部飼料株式会社
2055,日和産業株式会社
2058,株式会社ヒガシマル
205A,株式会社ロゴスホールディングス
2060,フィード・ワン株式会社
206A,株式会社ＰＲＩＳＭ　ＢｉｏＬａｂ
208A,株式会社構造計画研究所ホールディングス
2108,日本甜菜製糖株式会社
2109,ＤＭ三井製糖株式会社
2112,塩水港精糖株式会社
2114,フジ日本株式会社
2117,ウェルネオシュガー株式会社
211A,株式会社カドス・コーポレーション
2120,株式会社ＬＩＦＵＬＬ
2121,株式会社ＭＩＸＩ
2122,株式会社インタースペース
2124,株式会社ジェイエイシーリクルートメント
2127,株式会社日本Ｍ＆Ａセンターホールディングス
212A,フィットイージー株式会社
2130,株式会社メンバーズ
2134,北浜キャピタルパートナーズ株式会社
2136,株式会社ヒップ
2137,株式会社光ハイツ・ヴェラス
