証券コード,企業名
3320,クロスプラス株式会社
3321,ミタチ産業株式会社
3323,レカム株式会社
3326,株式会社ランシステム
3329,東和フードサービス株式会社
332A,ミーク株式会社
3333,株式会社あさひ
336A,ダイナミックマッププラットフォーム株式会社
3370,株式会社フジタコーポレーション
3371,株式会社ソフトクリエイトホールディングス
3372,株式会社関門海
3374,内外テック株式会社
3375,株式会社ＺＯＡ
3377,株式会社バイク王＆カンパニー
3382,株式会社セブン＆アイ・ホールディングス
3384,株式会社アークコア
3386,コスモ・バイオ株式会社
3387,株式会社クリエイト・レストランツ・ホールディングス
3388,明治電機工業株式会社
338A,株式会社ＺｅｎｍｕＴｅｃｈ
3391,株式会社ツルハホールディングス
3392,デリカフーズホールディングス株式会社
3393,スターティアホールディングス株式会社
3395,株式会社サンマルクホールディングス
3396,株式会社フェリシモ
3397,株式会社トリドールホールディングス
3399,株式会社丸千代山岡家
339A,プログレス・テクノロジーズ　グループ株式会社
3401,帝人株式会社
3402,東レ株式会社
3405,株式会社クラレ
3407,旭化成株式会社
3409,株式会社北紡
340A,株式会社ジグザグ
3415,株式会社ＴＯＫＹＯ　ＢＡＳＥ
3416,ピクスタ株式会社
3417,大木ヘルスケアホールディングス株式会社
3418,株式会社バルニバービ
3419,アートグリーン株式会社
3550,株式会社スタジオアタオ
3551,ダイニック株式会社
3553,共和レザー株式会社
3556,リネットジャパングループ株式会社
3557,ユナイテッド＆コレクティブ株式会社
3558,ジェイドグループ株式会社
3559,株式会社ピーバンドットコム
3560,株式会社ほぼ日
3561,株式会社力の源ホールディングス
3562,株式会社Ｎｏ．１
3563,株式会社ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ
3565,アセンテック株式会社
3566,ユニフォームネクスト株式会社
3569,セーレン株式会社
3571,株式会社ソトー
3577,東海染工株式会社
3580,小松マテーレ株式会社
8218,株式会社コメリ
8219,青山商事株式会社
8225,株式会社タカチホ
8226,株式会社　理経
8227,株式会社しまむら
8228,株式会社マルイチ産商
8230,株式会社はせがわ
8233,株式会社髙島屋
8237,株式会社松屋
8242,エイチ・ツー・オー　リテイリング株式会社
8244,株式会社近鉄百貨店
